,ENH_Strasse,ENH_Hausnummer,ENH_Plz,ENH_Ort,ENH_Bruttoleistung,ENH_Breitengrad,ENH_Laengengrad,ENH_InbetriebnahmeDatum,ENH_Betriebsstatus
0,Alte Karlsruher Straße,42,76227,Karlsruhe,229.5,49.004,8.456,2019-03-25 00:00:00.000,In Betrieb
1,Esslinger Straße,2,76228,Karlsruhe,93.62,48.953719,8.47711,2019-06-18 00:00:00.000,In Betrieb
2,Greschbachstraße,5a,76229,Karlsruhe,44.22,49.028429,8.472128999999999,2019-10-31 00:00:00.000,In Betrieb
3,Fiduciastraße,6a,76227,Karlsruhe,87.0,48.995209,8.448983,2011-12-31 00:00:00,In Betrieb
4,Ohiostraße,5,76149,Karlsruhe,42.24,49.031031,8.394098,2011-06-28 00:00:00,In Betrieb
5,Friedrich-Naumann-Straße,33,76187,Karlsruhe,30.78,49.032434,8.374309,2016-02-15 00:00:00,In Betrieb
6,Ortenbergstraße,8,76135,Karlsruhe,240.465,48.99157,8.375467,2015-08-06 00:00:00,In Betrieb
7,Haid-und-Neu-Straße,35,76131,Karlsruhe,33.02,49.014394,8.430013,2016-03-15 00:00:00,In Betrieb
8,Eugen-Geiger-Straße,8,76187,Karlsruhe,57.33,49.032725,8.356966,2012-03-29 00:00:00,In Betrieb
9,Babbergerstraße,17,76189,Karlsruhe,149.28,49.00508,8.317155999999999,2012-08-30 00:00:00,In Betrieb
10,ESSO-Straße,18,76187,Karlsruhe,322.65,49.041306,8.323096000000001,2010-06-30 00:00:00,In Betrieb
11,Östliche Rheinbrückenstraße,50,76187,Karlsruhe,42.4,49.025456,8.34677,2009-11-17 00:00:00,In Betrieb
12,Im Mittelfeld,10,76135,Karlsruhe,51.36,48.982295,8.376256,2015-07-29 00:00:00,In Betrieb
13,An der Rossweid,10,76229,Karlsruhe,34.5,49.030854,8.471326,2011-07-06 00:00:00,In Betrieb
14,Daimlerstraße,45,76185,Karlsruhe,58.7,49.030991,8.358002,2011-12-30 00:00:00,In Betrieb
15,Ohmstraße,10,76229,Karlsruhe,64.63,49.025667,8.474669,2010-12-30 00:00:00,In Betrieb
16,Daimlerstraße,35,76185,Karlsruhe,88.5,49.029835,8.356997999999999,2010-06-30 00:00:00,In Betrieb
17,Karlstraße,36,76133,Karlsruhe,57.62,49.006604,8.394517,2009-09-16 00:00:00,In Betrieb
18,Michelinstraße,4,76185,Karlsruhe,998.87,49.007179,8.351838,2010-06-29 00:00:00,In Betrieb
19,Herrmann-Leichtlin-Straße,11,76185,Karlsruhe,48.96,48.998122,8.359631,2016-06-30 00:00:00,In Betrieb
20,Unterfeldstraße,6,76149,Karlsruhe,33.07,49.045704,8.378065,2009-12-28 00:00:00,In Betrieb
21,Gebrüder-Bachert-Straße,4,76135,Karlsruhe,55.89,48.982045,8.37473,2011-12-27 00:00:00,In Betrieb
22,Lotzbeckstraße,11,76185,Karlsruhe,87.45,48.998919,8.360436,2012-09-25 00:00:00,In Betrieb
23,Im Mittelfeld,1,76135,Karlsruhe,51.66,48.983026,8.374673,2010-06-22 00:00:00,In Betrieb
24,Im Kleinen Bruch,3,76149,Karlsruhe,78.96,49.064965,8.370899,2009-03-31 00:00:00,In Betrieb
25,Michelinstraße,4,76185,Karlsruhe,810.75,49.007179,8.351838,2010-12-22 00:00:00,In Betrieb
26,Hauptbahnstraße,5,76227,Karlsruhe,38.07,49.002315,8.463994,2010-12-14 00:00:00,In Betrieb
27,Ottostraße,2a,76227,Karlsruhe,63.36,48.996004,8.449373,2011-06-30 00:00:00,In Betrieb
28,An der Rossweid,18,76229,Karlsruhe,57.81,49.032727,8.472009,2010-09-29 00:00:00,In Betrieb
29,Alter Schlachthof,35,76131,Karlsruhe,51.75,49.00449,8.43218,2009-12-21 00:00:00,In Betrieb
30,Durmersheimer Straße,57,76185,Karlsruhe,83.64,49.002085,8.354284,2011-11-28 00:00:00,In Betrieb
31,Grünhutstraße,1,76187,Karlsruhe,318.99,49.036941,8.352835,2012-06-26 00:00:00,In Betrieb
32,Lorbeerweg,1,76149,Karlsruhe,90.72,49.036938,8.391952999999999,2012-06-22 00:00:00,In Betrieb
33,Hochbahnstraße,1,76189,Karlsruhe,242.69,49.013891,8.341529,2011-07-20 00:00:00,In Betrieb
34,Hohleichweg,35,76189,Karlsruhe,79.38,49.010349,8.319018,2010-06-30 00:00:00,In Betrieb
35,An der Tagweide,27,76139,Karlsruhe,61.985,49.026568,8.462747,2012-09-24 00:00:00,In Betrieb
36,Hardtstraße,37,76185,Karlsruhe,70.08,49.013464,8.358915,2011-06-15 00:00:00,In Betrieb
37,Babbergerstraße,20,76189,Karlsruhe,103.635,49.005791,8.317946000000001,2012-07-28 00:00:00,In Betrieb
38,An der Rossweid,2,76229,Karlsruhe,146.64,49.029976,8.473046,2014-07-29 00:00:00,In Betrieb
39,Neureuter Straße,5,76185,Karlsruhe,120.5,49.018748,8.354607000000001,2011-12-28 00:00:00,In Betrieb
40,Litzenhardtstraße,165,76135,Karlsruhe,262.08,48.983606,8.375781,2015-10-31 00:00:00,In Betrieb
41,Alte Weingartener Straße,40,76227,Karlsruhe,46.64,49.004389,8.480211,2014-10-31 00:00:00,In Betrieb
42,Wachhausstraße,43,76227,Karlsruhe,79.38,48.990921,8.440541,2013-06-26 00:00:00,In Betrieb
43,G.-Braun-Straße,1a,76187,Karlsruhe,83.7,49.032501,8.355057,2010-12-20 00:00:00,In Betrieb
44,Dieselstraße,9,76227,Karlsruhe,144.48,48.996311,8.444721000000001,2015-10-30 00:00:00,In Betrieb
45,Wattstraße,8,76185,Karlsruhe,122.59,49.032814,8.359194,2012-06-28 00:00:00,In Betrieb
46,Hohenzollernstraße,69,76135,Karlsruhe,93.6,48.99342100000001,8.38527,2014-10-21 00:00:00,In Betrieb
